intent,query
ask_restaurant_location,Where is Xiayicheng located?
ask_restaurant_location,Can you give me directions to Xiayicheng?
ask_restaurant_location,How do I get to Xiayicheng restaurant?
ask_restaurant_location,What's the address of Xiayicheng?
ask_restaurant_location,where is Xiayicheng?
ask_restaurant_location,how to go to Xiayicheng restaurant?
ask_restaurant_location,Xiayicheng restaurant location
ask_restaurant_location,can you tell me where Xiayicheng is?
ask_restaurant_location,Where is Xia Yi Cheng located?
ask_restaurant_location,How do I get to Xia Yi Cheng?
ask_restaurant_location,What's the address of Xia Yi Cheng restaurant?
ask_restaurant_location,Can you give me directions to Xia Yi Cheng?
ask_restaurant_location,What is the nearest location of Tuk Tuk Thai&Taro?
ask_restaurant_location,How do I get to Tuk Tuk Thai&Taro in this area?
ask_restaurant_location,Where can I find Tuk Tuk Thai&Taro near me?
ask_restaurant_location,Can you please tell me the address of Tuk Tuk Thai&Taro?
ask_restaurant_location,how do I get to tuk tuk thai?
ask_restaurant_location,where is tuk tuk thai located?
ask_restaurant_location,can you direct me to tuk tuk thai?
ask_restaurant_location,what are the directions to tuk tuk thai?
ask_restaurant_location,Where is Tuk Tuk Thai located?
ask_restaurant_location,Can you tell me how to get to Tuk Tuk Thai?
ask_restaurant_location,What are the directions to Tuk Tuk Thai?
ask_restaurant_location,How far is Tuk Tuk Thai from here?
ask_restaurant_location,Where is TukTuk Thai located?
ask_restaurant_location,Can you tell me the address of TukTuk Thai?
ask_restaurant_location,How do I get to TukTuk Thai restaurant?
ask_restaurant_location,What is the location of TukTuk Thai?
ask_restaurant_location,Where is Dashuxia located?
ask_restaurant_location,Can you tell me how to get to Dashuxia restaurant?
ask_restaurant_location,What's the address of Dashuxia nearby?
ask_restaurant_location,How do I reach Dashuxia?
ask_restaurant_location,Where is Dashu Xia located?
ask_restaurant_location,How far is Dashu Xia from my current location?
ask_restaurant_location,Can you give me directions to Dashu Xia restaurant?
ask_restaurant_location,What are the nearest landmarks to Dashu Xia?
ask_restaurant_location,How far is Da Shu Xia from my current location?
ask_restaurant_location,What are the directions to get to Da Shu Xia restaurant?
ask_restaurant_location,Can you give me the address of Da Shu Xia restaurant?
ask_restaurant_location,"I'd like to visit Da Shu Xia, where is it located?"
ask_restaurant_location,Where is 大树下 located?
ask_restaurant_location,Can you give me directions to 大树下 restaurant?
ask_restaurant_location,How do I get to 大树下?
ask_restaurant_location,What's the nearest location of 大树下?
ask_restaurant_location,How do I get to Let's Kopitiam?
ask_restaurant_location,Where is Let's Kopitiam located?
ask_restaurant_location,Can you provide directions to Let's Kopitiam?
ask_restaurant_location,What are the nearest landmarks to Let's Kopitiam?
ask_restaurant_location,How do I get to Kopitiam?
ask_restaurant_location,Where is Kopitiam located?
ask_restaurant_location,Can you give me directions to Kopitiam?
ask_restaurant_location,How far is Kopitiam from my current location?
ask_restaurant_location,Where is Kopitiam located?
ask_restaurant_location,Can you give me directions to Kopitiam?
ask_restaurant_location,How do I get to Kopitiam?
ask_restaurant_location,What's the address of Kopitiam?
ask_restaurant_location,How far is Let's Kopi from my current location?
ask_restaurant_location,Can you tell me how to get to Let's Kopi?
ask_restaurant_location,What are the directions to Let's Kopi restaurant?
ask_restaurant_location,Where is Let's Kopi located?
ask_restaurant_location,Where is Mynews located?
ask_restaurant_location,Can you give me directions to Mynews?
ask_restaurant_location,How do I get to Mynews restaurant?
ask_restaurant_location,What's the address of Mynews?
ask_restaurant_location,Where is MyNEWS.com Centrepoint located?
ask_restaurant_location,How do I get to the MyNEWS.com restaurant at Mid Valley?
ask_restaurant_location,What is the address of MyNEWS.com store in The Gardens?
ask_restaurant_location,Can you tell me where the nearest MyNEWS.com restaurant is?
ask_restaurant_location,Where is My News located?
ask_restaurant_location,Can you tell me the address of My News?
ask_restaurant_location,How far is My News from my current location?
ask_restaurant_location,What are the directions to get to My News?
ask_restaurant_location,Can you tell me where is MyNews located?
ask_restaurant_location,How do I get to the nearest MyNews outlet?
ask_restaurant_location,What's the location of Takw Mee Tarik?
ask_restaurant_location,Where can I find Takw Mee Tarik restaurant?
ask_restaurant_location,How do I get to Takw Mee Tarik?
ask_restaurant_location,Can you tell me the address of Takw Mee Tarik?
ask_restaurant_location,Where is the nearest place to get Tak W Mee Tarik?
ask_restaurant_location,How do I reach Tak W Mee Tarik from my location?
ask_restaurant_location,Can you tell me the address of Tak W Mee Tarik?
ask_restaurant_location,What's the direction to go to Tak W Mee Tarik?
ask_restaurant_location,Where is Tarik Mee located?
ask_restaurant_location,How do I get to Tarik Mee restaurant?
ask_restaurant_location,What are the directions to Tarik Mee?
ask_restaurant_location,Can you give me Tarik Mee's address?
ask_restaurant_location,Where is Mee Tarik located?
ask_restaurant_location,Can you tell me how to get to Mee Tarik?
ask_restaurant_location,"I'm looking for directions to Mee Tarik, do you know the way?"
ask_restaurant_location,How far is Mee Tarik from my current location?
ask_restaurant_location,Where is Dajiawang located?
ask_restaurant_location,How do I get to Dajiawang restaurant?
ask_restaurant_location,What is the address of Dajiawang restaurant?
ask_restaurant_location,How do I get to Dajiawang?
ask_restaurant_location,Can you tell me where Dajiawang restaurant is located?
ask_restaurant_location,Where can I find Dajiawang?
ask_restaurant_location,Where is Da Jia Wang located?
ask_restaurant_location,How do I get to Da Jia Wang restaurant?
ask_restaurant_location,What are the directions to Da Jia Wang?
ask_restaurant_location,Can you give me the address of Da Jia Wang?
ask_restaurant_location,How to get to everyone's fortune restaurant?
ask_restaurant_location,Where is everyone's fortune located?
ask_restaurant_location,Which bus can I take to get to everyone's fortune?
ask_restaurant_location,Can you provide me with directions to everyone's fortune?
ask_restaurant_location,How do I get to Shuzhiwei restaurant?
ask_restaurant_location,Where is Shuzhiwei restaurant located?
ask_restaurant_location,Can you give me directions to Shuzhiwei restaurant?
ask_restaurant_location,What's the nearest way to reach Shuzhiwei restaurant?
ask_restaurant_location,Can you tell me where Shuzhiwei is located?
ask_restaurant_location,How do I get to Shuzhiwei restaurant?
ask_restaurant_location,What's the address of Shuzhiwei restaurant nearby?
