query,entity_text,entity_label,index
Where can I dine at Xiayicheng,Xiayicheng,restaurant,0
What is the menu of Xiayicheng restaurant?,Xiayicheng,restaurant,1
Can you reserve a table for me at Xiayicheng tonight?,Xiayicheng,restaurant,2
What's the menu of xiayicheng?,xiayicheng,restaurant,3
I want to reserve a table at xiayicheng,xiayicheng,restaurant,4
Is xiayicheng open for lunch today?,xiayicheng,restaurant,5
Where is Xia Yi Cheng located?,Xia Yi Cheng,restaurant,6
What time does Xia Yi Cheng open?,Xia Yi Cheng,restaurant,7
Is Xia Yi Cheng a good place to eat?,Xia Yi Cheng,restaurant,8
Where is the nearest restaurant,Tuk Tuk Thai&Taro,restaurant,9
Is Tuk Tuk Thai&Taro open on weekends?,Tuk Tuk Thai&Taro,restaurant,10
What are the opening hours for Tuk Tuk Thai&Taro?,Tuk Tuk Thai&Taro,restaurant,11
What is the address of Tuk Tuk Thai?,Tuk Tuk Thai,restaurant,12
When does Tuk Tuk Thai open?,Tuk Tuk Thai,restaurant,13
Is Tuk Tuk Thai a good place for dinner?,Tuk Tuk Thai,restaurant,14
I'd like to reserve a table at TukTuk Thai,TukTuk Thai,restaurant,15
What's the menu like at TukTuk Thai?,TukTuk Thai,restaurant,16
Can I make a reservation for tonight at TukTuk Thai?,TukTuk Thai,restaurant,17
What's the best dish at Dashuxia?,Dashuxia,restaurant,18
I love their Xiaolongbao at Dashuxia.,Dashuxia,restaurant,19
Can I reserve a table for tonight at Dashuxia?,Dashuxia,restaurant,20
Where is dashuxia located?,dashuxia,restaurant,21
Can I make a reservation at dashuxia?,dashuxia,restaurant,22
Is dashuxia open for dinner?,dashuxia,restaurant,23
Where is Da Shu Xia located?,Da Shu Xia,restaurant,24
What are the opening hours of Da Shu Xia today?,Da Shu Xia,restaurant,25
I'm craving Let's kopitiam for dinner tonight.,Let's kopitiam,restaurant,26
Can you tell me the menu of Let's kopitiam?,Let's kopitiam,restaurant,27
What are the operating hours of Let's kopitiam?,Let's kopitiam,restaurant,28
What's the menu like at lets kopitiam?,lets kopitiam,restaurant,29
Can I book a table at lets kopitiam for tonight?,lets kopitiam,restaurant,30
How late does lets kopitiam open?,lets kopitiam,restaurant,31
What is the menu like at Kopitiam?,Kopitiam,restaurant,32
Can I reserve a table at Kopitiam tonight?,Kopitiam,restaurant,33
Is Kopitiam open for breakfast?,Kopitiam,restaurant,34
