,0
0,"[('Where can I dine at Xiayicheng', {'entities': [(20, 30, 'restaurant')]})]"
1,"[('What is the menu of Xiayicheng restaurant?', {'entities': [(20, 30, 'restaurant')]})]"
2,"[('Can you reserve a table for me at Xiayicheng tonight?', {'entities': [(34, 44, 'restaurant')]})]"
3,"[(""What's the menu of xiayicheng?"", {'entities': [(19, 29, 'restaurant')]})]"
4,"[('I want to reserve a table at xiayicheng', {'entities': [(29, 39, 'restaurant')]})]"
5,"[('Is xiayicheng open for lunch today?', {'entities': [(3, 13, 'restaurant')]})]"
6,"[('Where is Xia Yi Cheng located?', {'entities': [(9, 21, 'restaurant')]})]"
7,"[('What time does Xia Yi Cheng open?', {'entities': [(15, 27, 'restaurant')]})]"
8,"[('Is Xia Yi Cheng a good place to eat?', {'entities': [(3, 15, 'restaurant')]})]"
10,"[('Is Tuk Tuk Thai&Taro open on weekends?', {'entities': [(3, 20, 'restaurant')]})]"
11,"[('What are the opening hours for Tuk Tuk Thai&Taro?', {'entities': [(31, 48, 'restaurant')]})]"
12,"[('What is the address of Tuk Tuk Thai?', {'entities': [(23, 35, 'restaurant')]})]"
13,"[('When does Tuk Tuk Thai open?', {'entities': [(10, 22, 'restaurant')]})]"
14,"[('Is Tuk Tuk Thai a good place for dinner?', {'entities': [(3, 15, 'restaurant')]})]"
15,"[(""I'd like to reserve a table at TukTuk Thai"", {'entities': [(31, 42, 'restaurant')]})]"
16,"[(""What's the menu like at TukTuk Thai?"", {'entities': [(24, 35, 'restaurant')]})]"
17,"[('Can I make a reservation for tonight at TukTuk Thai?', {'entities': [(40, 51, 'restaurant')]})]"
18,"[(""What's the best dish at Dashuxia?"", {'entities': [(24, 32, 'restaurant')]})]"
19,"[('I love their Xiaolongbao at Dashuxia.', {'entities': [(28, 36, 'restaurant')]})]"
20,"[('Can I reserve a table for tonight at Dashuxia?', {'entities': [(37, 45, 'restaurant')]})]"
21,"[('Where is dashuxia located?', {'entities': [(9, 17, 'restaurant')]})]"
22,"[('Can I make a reservation at dashuxia?', {'entities': [(28, 36, 'restaurant')]})]"
23,"[('Is dashuxia open for dinner?', {'entities': [(3, 11, 'restaurant')]})]"
24,"[('Where is Da Shu Xia located?', {'entities': [(9, 19, 'restaurant')]})]"
25,"[('What are the opening hours of Da Shu Xia today?', {'entities': [(30, 40, 'restaurant')]})]"
26,"[(""I'm craving Let's kopitiam for dinner tonight."", {'entities': [(12, 26, 'restaurant')]})]"
27,"[(""Can you tell me the menu of Let's kopitiam?"", {'entities': [(28, 42, 'restaurant')]})]"
28,"[(""What are the operating hours of Let's kopitiam?"", {'entities': [(32, 46, 'restaurant')]})]"
29,"[(""What's the menu like at lets kopitiam?"", {'entities': [(24, 37, 'restaurant')]})]"
30,"[('Can I book a table at lets kopitiam for tonight?', {'entities': [(22, 35, 'restaurant')]})]"
31,"[('How late does lets kopitiam open?', {'entities': [(14, 27, 'restaurant')]})]"
